6/4a1/6/6/1N4/6,6,6,a6 a5 b6 a4 b5 c6 f1 f2 f3 e1 e2 d1,b2
6/6/5a/6/6/2N3,c1a2
6/6/3a1N/6/6/6,f4e6
4N1/6/3a2/6/6/6,e6d4
6/6/1a3N/6/6/6,f4e6
4N1/6/1a4/6/6/6,e6d4
6/6/1a1N2/6/6/6,d4c2
6/6/2aN2/6/6/6,d4c2
6/6/3N2/1a4/6/6,d4b3
4N1/6/6/1a4/6/6,e6d4
6/6/3N2/2a3/6/6,d4f5
6/5N/6/1a4/6/6,f5e3
6/6/6/1a2N1/6/6,e3c2
6/6/6/a3N1/6/6,e3f5
6/5N/6/a5/6/6,f5d4
6/6/3N2/a5/6/6,d4e6
4N1/6/6/a5/6/6,e6d4
6/6/3N2/6/a5/6,d4c2
6/6/6/6/a1N3/6,c2e3
6/6/6/4N1/a5/6,e3c4
6/6/2N3/6/a5/6,c4d2
6/6/6/6/a2N2/6,d2b1
6/6/6/6/a5/1N4,b1c3
6/6/6/2N3/a5/6,c3a2
6/6/6/a1N3/6/6,c3b1
6/6/6/a5/6/1N4,b1a3
4N1/6/6/6/a5/6,e6d4
6/5N/6/6/a5/6,f5e3
6/5N/6/6/2a3/6,f5e3
6/6/6/4N1/2a3/6,e3c2
6/6/6/4N1/3a2/6,e3c4
6/6/2N3/6/3a2/6,c4d2
6/6/2N3/3a2/6/6,c4a3
6/6/6/N3a1/6/6,a3b1
6/6/6/N5/3a2/6,a3b1
6/6/5N/2a3/6/6,f4e6
4N1/6/6/3a2/6/6,e6c5
4N1/6/6/6/2a3/6,e6d4
6/6/3N2/6/2a3/6,d4c2
6/3N2/6/1a4/6/6,d5c3
6/6/6/1aN3/6/6,c3b1
6/6/1a4/2N3/6/6,c3b1
6/6/6/3aN1/6/6,e3d5
6/3N2/6/3a2/6/6,d5b4
6/6/1N4/4a1/6/6,b4a2
6/6/1N4/2a3/6/6,b4a2
6/6/1N4/6/3a2/6,b4a2
6/6/6/6/N2a2/6,a2b4
6/6/1N4/6/2a3/6,b4c2
6/3N2/3a2/6/6/6,d5b4
6/3a2/1N4/6/6/6,b4d5
6/6/1N2a1/6/6/6,b4c2
6/6/1Na3/6/6/6,b4a2
6/3N2/6/4a1/6/6,d5e3
6/3N2/6/2a3/6/6,d5c3
6/3N2/6/6/3a2/6,d5b4
3N2/6/3a2/6/6/6,d6f5
6/3a1N/6/6/6/6,f5e3
6/4a1/6/4N1/6/6,e3c2
6/5N/4a1/6/6/6,f5d6
3N2/6/5a/6/6/6,d6c4
3N2/6/6/4a1/6/6,d6f5
3N2/6/6/2a3/6/6,d6f5
3N2/6/6/6/3a2/6,d6c4
5N/3a2/6/6/6/6,f6d5
5N/6/4a1/6/6/6,f6e4
5N/6/2a3/6/6/6,f6e4
6/6/1a2N1/6/6/6,e4d2
6/6/4N1/2a3/6/6,e4c3
5N/6/6/3a2/6/6,f6d5
6/2N3/6/1a4/6/6,c5b3
6/2N3/6/6/2a3/6,c5b3
6/6/6/1N4/2a3/6,b3a1
6/6/6/6/2a3/N5,a1c2
6/6/6/6/3a2/N5,a1b3
6/6/6/1Na3/6/6,b3a1
6/6/2a3/6/6/N5,a1c2
6/6/6/3a2/6/N5,a1b3
6/6/6/2aN2/6/6,d3c1
6/6/6/3N2/3a2/6,d3b4
6/4N1/6/2a3/6/6,e5d3
6/6/2a3/3N2/6/6,d3c1
6/4N1/6/6/3a2/6,e5c4
6/6/2N3/2a3/6/6,c4a3
6/6/6/Na4/6/6,a3b1
6/6/6/N5/2a3/6,a3c2
6/6/6/a5/6/N5,a1c2
6/2N3/4a1/6/6/6,c5e4
6/6/1a4/3N2/6/6,d3b4
6/6/1a4/6/1N4/6,b2d3
6/6/6/2a3/1N4/6,b2d3
6/6/6/a5/1N4/6,b2d3
6/6/1a4/N5/6/6,a3b1
3a2/6/6/6/6/N5,a1c2
6/2a3/6/6/6/N5,a1c2
6/6/6/4a1/3N2/6,d2b1
5a/6/6/4N1/6/6,e3c2
6/3Na1/6/6/6/6,d5c3
6/3N2/5a/6/6/6,d5f4
5a/6/6/6/N5/6,a2b4
5a/6/6/6/6/2N3,c1b3
5a/6/6/6/1N4/6,b2d3
6/6/5a/6/1N4/6,b2d3
6/5a/4N1/6/6/6,e4d2
4a1/6/6/6/1N4/6,b2d3
6/3a2/6/6/1N4/6,b2d3
6/6/3a2/3N2/6/6,d3c1
6/6/4a1/6/1N4/6,b2c4
6/6/2Na2/6/6/6,c4d2
6/6/2N3/4a1/6/6,c4e3
